Rafis	1	12605	99.01	192177 	161	1,544	697
Cookiezi	2	12525	98.97	7714 	41	265	202
AngeLMegumin	3	12221	99.01	115036 	144	1,256	603
hvick225	4	12118	99.11	133766 	824	3,452	676
Vaxei	5	10917	98.00	75178 	31	448	443
_index	6	10799	98.98	51964 	422	1,419	439
filsdelama	7	10781	98.69	101294 	182	1,359	543
Spare	8	10706	99.18	35621 	202	806	523
-Zirba-	9	10654	98.83	78576 	40	827	805
Axarious	10	10608	97.24	61537 	35	847	457
Recia	11	10532	98.93	94879 	637	2,551	150
Mizuru	12	10321	99.10	73162 	79	848	839
My_Aim_Sucks	13	10194	99.41	90715 	314	1,419	756
Wilchq	14	10164	99.25	70499 	1,039	3,062	223
Xilver	15	10092	99.53	181017 	143	1,298	651
WubWoofWolf	16	10075	99.40	193190 	6,725	7,359	1,047
HappyStick	17	10005	97.94	146920 	123	1,941	409
kuu01	18	10001	98.41	103738 	44	1,100	1,385
Dustice	19	10000	98.72	79063 	108	2,126	1,273
Sanze	20	9927	99.22	137959 	56	1,219	862
CXu	21	9894	99.18	96523 	845	3,444	91
Reimu-Desu	22	9882	99.31	99051 	247	1,711	519
Gayzmcgee	23	9857	99.15	68775 	25	551	662
Vettel	24	9853	98.99	205454 	300	1,949	1,047
Rohulk	25	9816	99.36	27675 	21	1,285	1,492
DoKito	26	9763	99.33	62617 	101	1,735	1,287
talala	27	9738	98.73	171997 	127	2,223	1,398
Astar	28	9704	98.90	111149 	123	1,766	1,147
Elysion	29	9554	98.28	87653 	34	756	1,262
[Toy]	30	9550	99.25	147430 	2,238	2,486	551
Beafowl	31	9511	99.50	85681 	273	761	225
-T_A_R_U_L_A_S-	32	9498	98.96	73940 	49	976	473
Rucker	33	9491	99.41	162953 	3,383	4,183	623
Tokichii	34	9438	98.02	109496 	232	3,276	685
Musty	35	9387	98.86	90023 	101	1,568	1,195
Azer	36	9383	99.12	67393 	165	887	618
[_Emillia_]	37	9383	96.01	56841 	28	788	712
DenierNezzar	38	9374	98.64	115280 	92	1,972	1,162
DanyL	39	9323	97.81	67381 	78	708	238
bahamete	40	9306	98.74	93086 	157	976	445
kune259	41	9284	97.69	79103 	14	633	735
Dsan	42	9253	99.26	127241 	622	3,354	587
NerO	43	9234	97.89	106652 	150	1,512	688
Neliel	44	9222	98.91	105979 	30	1,325	574
Leaf	45	9217	99.10	63713 	224	3,053	548
rustbell	46	9167	98.46	59038 	123	2,010	819
Kynan	47	9161	98.63	162847 	74	1,760	1,516
Fenrir	48	9159	99.37	77266 	124	1,804	401
r0ck	49	9152	98.97	100265 	238	2,426	685
Mlaw22	50	9143	99.09	76909 	179	2,536	1,118
aleho8	51	9132	98.11	35405 	14	592	640
Mayoler	52	9129	98.83	100692 	153	2,040	667
isokasapupuja	53	9115	99.05	125517 	145	1,491	934
